country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Russian Federation,2009,female,25-34 years,986,11440839,8.62,Russian Federation2009,,"1,222,643,696,992",9118,Generation X
Russian Federation,2009,female,15-24 years,839,10472951,8.01,Russian Federation2009,,"1,222,643,696,992",9118,Millenials
Russian Federation,2009,male,5-14 years,166,6869835,2.42,Russian Federation2009,,"1,222,643,696,992",9118,Generation Z
Russian Federation,2009,female,5-14 years,78,6552868,1.19,Russian Federation2009,,"1,222,643,696,992",9118,Generation Z
Russian Federation,2010,male,75+ years,1506,2023458,74.43,Russian Federation2010,,"1,524,916,112,079",11307,Silent
Russian Federation,2010,male,25-34 years,6508,11398127,57.1,Russian Federation2010,,"1,524,916,112,079",11307,Generation X
Russian Federation,2010,male,35-54 years,10304,19786280,52.08,Russian Federation2010,,"1,524,916,112,079",11307,Generation X
Russian Federation,2010,male,55-74 years,5178,11174530,46.34,Russian Federation2010,,"1,524,916,112,079",11307,Silent
Russian Federation,2010,male,15-24 years,3934,10546669,37.3,Russian Federation2010,,"1,524,916,112,079",11307,Millenials
Russian Federation,2010,female,75+ years,1041,5711389,18.23,Russian Federation2010,,"1,524,916,112,079",11307,Silent
Russian Federation,2010,female,55-74 years,1354,16921727,8,Russian Federation2010,,"1,524,916,112,079",11307,Silent
Russian Federation,2010,female,25-34 years,893,11473939,7.78,Russian Federation2010,,"1,524,916,112,079",11307,Generation X
Russian Federation,2010,female,35-54 years,1680,21894031,7.67,Russian Federation2010,,"1,524,916,112,079",11307,Generation X
Russian Federation,2010,female,15-24 years,763,10241329,7.45,Russian Federation2010,,"1,524,916,112,079",11307,Millenials
Russian Federation,2010,male,5-14 years,131,7012170,1.87,Russian Federation2010,,"1,524,916,112,079",11307,Generation Z
Russian Federation,2010,female,5-14 years,64,6682338,0.96,Russian Federation2010,,"1,524,916,112,079",11307,Generation Z
Russian Federation,2011,male,75+ years,1485,2093449,70.94,Russian Federation2011,,"2,051,661,732,060",15226,Silent
Russian Federation,2011,male,25-34 years,6011,11598196,51.83,Russian Federation2011,,"2,051,661,732,060",15226,Millenials
Russian Federation,2011,male,35-54 years,9411,19684905,47.81,Russian Federation2011,,"2,051,661,732,060",15226,Generation X
Russian Federation,2011,male,55-74 years,4892,11401026,42.91,Russian Federation2011,,"2,051,661,732,060",15226,Boomers
Russian Federation,2011,male,15-24 years,3569,10070836,35.44,Russian Federation2011,,"2,051,661,732,060",15226,Millenials
Russian Federation,2011,female,75+ years,1103,5829088,18.92,Russian Federation2011,,"2,051,661,732,060",15226,Silent
Russian Federation,2011,female,15-24 years,740,9723773,7.61,Russian Federation2011,,"2,051,661,732,060",15226,Millenials
Russian Federation,2011,female,55-74 years,1300,17200185,7.56,Russian Federation2011,,"2,051,661,732,060",15226,Boomers
Russian Federation,2011,female,25-34 years,843,11638171,7.24,Russian Federation2011,,"2,051,661,732,060",15226,Millenials
Russian Federation,2011,female,35-54 years,1515,21733089,6.97,Russian Federation2011,,"2,051,661,732,060",15226,Generation X
Russian Federation,2011,male,5-14 years,102,7052757,1.45,Russian Federation2011,,"2,051,661,732,060",15226,Generation Z
Russian Federation,2011,female,5-14 years,67,6720399,1,Russian Federation2011,,"2,051,661,732,060",15226,Generation Z
Russian Federation,2012,male,75+ years,1486,2211989,67.18,Russian Federation2012,,"2,210,256,976,945",16413,Silent
Russian Federation,2012,male,25-34 years,5762,11845892,48.64,Russian Federation2012,,"2,210,256,976,945",16413,Millenials
Russian Federation,2012,male,35-54 years,8755,19588712,44.69,Russian Federation2012,,"2,210,256,976,945",16413,Generation X
Russian Federation,2012,male,55-74 years,4804,11597408,41.42,Russian Federation2012,,"2,210,256,976,945",16413,Boomers
Russian Federation,2012,male,15-24 years,3275,9484213,34.53,Russian Federation2012,,"2,210,256,976,945",16413,Millenials
Russian Federation,2012,female,75+ years,1095,6062562,18.06,Russian Federation2012,,"2,210,256,976,945",16413,Silent
Russian Federation,2012,female,25-34 years,866,11827264,7.32,Russian Federation2012,,"2,210,256,976,945",16413,Millenials
Russian Federation,2012,female,35-54 years,1572,21564691,7.29,Russian Federation2012,,"2,210,256,976,945",16413,Generation X
Russian Federation,2012,female,55-74 years,1229,17375445,7.07,Russian Federation2012,,"2,210,256,976,945",16413,Boomers
Russian Federation,2012,female,15-24 years,627,9131383,6.87,Russian Federation2012,,"2,210,256,976,945",16413,Millenials
Russian Federation,2012,male,5-14 years,107,7159170,1.49,Russian Federation2012,,"2,210,256,976,945",16413,Generation Z
Russian Federation,2012,female,5-14 years,65,6819793,0.95,Russian Federation2012,,"2,210,256,976,945",16413,Generation Z
Russian Federation,2013,male,75+ years,1549,2349484,65.93,Russian Federation2013,,"2,297,128,039,058",17052,Silent
Russian Federation,2013,male,25-34 years,5825,12057910,48.31,Russian Federation2013,,"2,297,128,039,058",17052,Millenials
Russian Federation,2013,male,35-54 years,8815,19484117,45.24,Russian Federation2013,,"2,297,128,039,058",17052,Generation X
Russian Federation,2013,male,55-74 years,4644,11808589,39.33,Russian Federation2013,,"2,297,128,039,058",17052,Boomers
Russian Federation,2013,male,15-24 years,2770,8908926,31.09,Russian Federation2013,,"2,297,128,039,058",17052,Millenials
Russian Federation,2013,female,75+ years,1000,6355318,15.73,Russian Federation2013,,"2,297,128,039,058",17052,Silent
Russian Federation,2013,female,35-54 years,1454,21385188,6.8,Russian Federation2013,,"2,297,128,039,058",17052,Generation X
Russian Federation,2013,female,25-34 years,803,11984461,6.7,Russian Federation2013,,"2,297,128,039,058",17052,Millenials
Russian Federation,2013,female,55-74 years,1154,17517861,6.59,Russian Federation2013,,"2,297,128,039,058",17052,Boomers
Russian Federation,2013,female,15-24 years,511,8554683,5.97,Russian Federation2013,,"2,297,128,039,058",17052,Millenials
Russian Federation,2013,male,5-14 years,111,7327888,1.51,Russian Federation2013,,"2,297,128,039,058",17052,Generation Z
Russian Federation,2013,female,5-14 years,54,6979537,0.77,Russian Federation2013,,"2,297,128,039,058",17052,Generation Z
Russian Federation,2014,male,75+ years,1597,2349484,67.97,Russian Federation2014,,"2,063,662,665,172",15319,Silent
Russian Federation,2014,male,25-34 years,5276,12057910,43.76,Russian Federation2014,,"2,063,662,665,172",15319,Millenials
Russian Federation,2014,male,35-54 years,8105,19484117,41.6,Russian Federation2014,,"2,063,662,665,172",15319,Generation X
Russian Federation,2014,male,55-74 years,4501,11808589,38.12,Russian Federation2014,,"2,063,662,665,172",15319,Boomers
Russian Federation,2014,male,15-24 years,2311,8908926,25.94,Russian Federation2014,,"2,063,662,665,172",15319,Millenials
Russian Federation,2014,female,75+ years,1019,6355318,16.03,Russian Federation2014,,"2,063,662,665,172",15319,Silent
Russian Federation,2014,female,55-74 years,1105,17517861,6.31,Russian Federation2014,,"2,063,662,665,172",15319,Boomers
Russian Federation,2014,female,35-54 years,1297,21385188,6.06,Russian Federation2014,,"2,063,662,665,172",15319,Generation X
Russian Federation,2014,female,25-34 years,723,11984461,6.03,Russian Federation2014,,"2,063,662,665,172",15319,Millenials
Russian Federation,2014,female,15-24 years,467,8554683,5.46,Russian Federation2014,,"2,063,662,665,172",15319,Millenials
Russian Federation,2014,male,5-14 years,96,7327888,1.31,Russian Federation2014,,"2,063,662,665,172",15319,Generation Z
Russian Federation,2014,female,5-14 years,44,6979537,0.63,Russian Federation2014,,"2,063,662,665,172",15319,Generation Z
Russian Federation,2015,male,75+ years,1519,2608590,58.23,Russian Federation2015,,"1,368,400,705,491",9987,Silent
Russian Federation,2015,male,35-54 years,7898,19598084,40.3,Russian Federation2015,,"1,368,400,705,491",9987,Generation X
Russian Federation,2015,male,25-34 years,4994,12407057,40.25,Russian Federation2015,,"1,368,400,705,491",9987,Millenials
Russian Federation,2015,male,55-74 years,4443,12564884,35.36,Russian Federation2015,,"1,368,400,705,491",9987,Boomers
Russian Federation,2015,male,15-24 years,1928,7995706,24.11,Russian Federation2015,,"1,368,400,705,491",9987,Millenials
Russian Federation,2015,female,75+ years,953,6957819,13.7,Russian Federation2015,,"1,368,400,705,491",9987,Silent
Russian Federation,2015,female,35-54 years,1391,21387236,6.5,Russian Federation2015,,"1,368,400,705,491",9987,Generation X
Russian Federation,2015,female,25-34 years,730,12264840,5.95,Russian Federation2015,,"1,368,400,705,491",9987,Millenials
Russian Federation,2015,female,55-74 years,1062,18280577,5.81,Russian Federation2015,,"1,368,400,705,491",9987,Boomers
Russian Federation,2015,female,15-24 years,378,7653174,4.94,Russian Federation2015,,"1,368,400,705,491",9987,Millenials
Russian Federation,2015,male,5-14 years,79,7836667,1.01,Russian Federation2015,,"1,368,400,705,491",9987,Generation Z
Russian Federation,2015,female,5-14 years,57,7464309,0.76,Russian Federation2015,,"1,368,400,705,491",9987,Generation Z
